category;CIRCUNSCRIPCION_ELECTORAL
presidencial;UNICO NACIONAL
parlamentoAndino;UNICO NACIONAL
senadoresNacional;UNICO NACIONAL
;AMAZONAS
;ANCASH
;APURIMAC
;AREQUIPA
;AYACUCHO
;CAJAMARCA
;CALLAO
;CUSCO
;HUANCAVELICA
;HUANUCO
;ICA
;JUNIN
;LA LIBERTAD
;LAMBAYEQUE
;LIMA METROPOLITANA
;LIMA PROVINCIAS 
;PERUANOS RESIDENTES EN EL EXTRANJERO
;LORETO
;MADRE DE DIOS
;MOQUEGUA
;PASCO
;PIURA
;PUNO
;SAN MARTIN
;TACNA
;TUMBES
;UCAYALI
